ID,Brand,Name,Fragrance Type,Notes,size,Price
110,Moschino,Fresh Couture,Eau de Toilette,"Bergamot, Mandarin, Ylang-ylang, Raspberry, Peony, Osmanthus, Wood, Patchouli, Amber",Full,71
111,Mugler,Alien Goddess,Eau de Parfum,"Bergamot, Coconut, Jasmine, Benzoin, Vanilla, Bourbon",Full,100
112,Narciso Rodriguez,For Her,Eau de Toilette,"Musk, Orange Blossom, Osmanthus, Amber, Patchouli, Wood",Full,70
113,Narciso Rodriguez,Musc Noir For Her,Eau de Parfum,"Plum, Heliotrope, Musk, Cedarwood, Rose, Suede",Travel,16
114,Narciso Rodriguez,Pure Musk For Her,Eau de Parfum,"Orange Blossom, Jasmine, Ylang-ylang, Cashmere, Musk",Travel,16
115,Nemat,Amber,Fragrance Oil,Amber,Full,20.99
116,Nest,Balinese Coconut,Fragrance Oil,"Coconut, Tiare, Musk, Frangipani",Sample,
117,Nest,Black Tulip,Eau de Parfum,"Plum, Patchouli, Violet, Pink Pepper, Cherry",Travel,6.5
118,Nest,Citrine,Eau de Parfum,"Lemon, Freesia, Dew, Lotus, Wood",Travel,6.5
119,Nest,Golden Nectar,Eau de Parfum,"Vanilla, Orchid, Amber, Musk, Suede",Travel,6.5
120,Nest,Indigo,Eau de Parfum,"Fig, Bergamot, Tea, Cardamom, Cashmere",Travel,6.5
121,Nest,Madagascar Vanilla,Fragrance Oil,"Vanilla, Coconut",Travel,
122,Nest,Santa Barbara Strawberry,Fragrance Oil,"Strawberry, Peony, Wood",Sample,
123,Nest,Seville Orange,Fragrance Oil,"Orange, Grapefruit, Neroli",Sample,
124,Nest,Sunkissed Hibiscus,Eau de Parfum,"Coconut, Frangipani, Tuberose, Gardenia, Orange Blossom, Amber",Travel,9.33
125,Nest,Turkish Rose,Fragrance Oil,"Plum, Rose, Wood",Sample,
126,Nest,Vanilla Bourbon,Eau de Parfum,"Vanilla, Brown Sugar, Jasmine, Musk",Travel,0.5
127,Nest,Wild Poppy,Eau de Parfum,"Rose, Raspberry, Pear, Apricot, Jasmine",Travel,9.33
128,Nest,Wisteria Blue,Eau de Parfum,"Wisteria, Water, Rose, Jasmine",Travel,6.5
129,Orebella,Nightcap,Parfum,"Ginger, Cardamom, Wood, Vanilla, Cistus, Sadalwood, Patchouli",Travel,35
130,Ouai,North Bondi,Eau de Parfum,"Bergamot, Lemon, Apple, Raspberry, Rose, Violet, Jasmine, Musk, Patchouli, Sandalwood",Travel,26
131,Pacifica ,Dream Moon,Body Mist,"Patchouli, sandalwood, rose",Full,
132,Parfums de Marly,Delina,Eau de Parfum,"Rhubarb, Lychee, Bergamot, Rose, Vanilla, Cashmere, Musk, Vetiver",Travel,16
133,Philosophy,Fresh Cream,Eau de Toilette,"Whipped Cream, Butter, Tonka",Full,28
134,Philosophy,Fresh Cream Soft Velvet,Eau de Toilette,"Ginger, Lily, Vanilla, Chocolate",Full,28
135,Philosophy,Pure Grace,Eau de Toilette,"Water Lily, Leafy Greens, Musk",Full,28
136,Philosophy,Radiant Grace,Eau de Parfum,"Sandalwood, Jasmine, Cherry",Full,
137,Phlur,Missing Person,Eau de Parfum,"Skin, musk, Bergamot, Jasmine, Cyclamen, Neroli, Orange, Sandalwood, Wood",Travel,15
138,Phlur,Solar Power,Eau de Parfum,"Mandarin, Bergamot, Jasmine, Neroli, Orange, Wood, Musk, Salt",Travel,15
139,Phlur,Tangerine Boy,Eau de Parfum,"Lemon, Ginger, Black Pepper, Apple, Tangerine, Jasmine, Amber, Moss",Travel,15
140,Phlur,Vanilla Skin,Body Mist,"Pink Pepper, Apple, Sugar, Lily, Jasmine, Cashmere, Wood, Benzoin, Vanilla, Sandalwood",Full,38
141,Prada,Paradoxe Intense,Eau de Parfum,"Pear, Neroli, Bergamot, Jasmine, Moss, Vanilla, Amber, Serenolide",Sample,
142,Ralph Lauren,Romance,Eau de Parfum,"Mandarin, Pink Pepper, Violet, Rose, Jasmine, Marigold, Geranium, Wood, Moss, Musk",Sample,
143,Sabrina Carpenter,Sweet Tooth,Eau de Parfum,"Bergamot, Ginger, Chocolate, Marshmallow, Jasmine, Coconut, Vanilla, Cashmere, Wood, Chantilly, Musk",Full,35
144,Sand + Fog,Jasmine & Cedarwood,Fragrance Oil,"Saffron, Lemon, Jasmine, Pine, Cedarwood, Amber, Musk",Travel,12
145,Sand + Fog,Vanilla & Amber,Fragrance Oil,"Green, Jasmine, Sugar, Vanilla, Patchouli, Amber",Full,25
146,Sand + Fog,Vanilla Musk,Fragrance Oil,"Sugar, Coconut, Anise, Vanilla, Amber, Musk",Travel,12
147,Sand + Fog,White Vanilla,Fragrance Oil,"Orange, Vanilla, Butter, Sugar",Travel,10
148,Santa Maria Novella,Rosa Gardenia,Cologne,"Bergamot, Almond, Orange Blossom, Gardenia, Rose, Fig, Jasmine, Sandalwood, Vanilla, Musk",Full,130
149,Scents Unearth’d,Vanilla Crown,Eau de Parfum,"Vanilla, Cardamom",Full,
150,Scentual Fragrances,Island Vanilla,Fragrance Oil,"Coconut, Bergamot, Jasmine, Heliotrope, Cashmere, Vanilla",Travel,14.95
151,Scentual Fragrances,Strawberry Clouds,Fragrance Oil,"Freesia, Nectarine, Coconut, Marshmallow, Strawberry, Raspberry, Whipped Cream, Vanilla, Amber",Travel,14.95
152,Skylar,Boardwalk Delight,Body Mist,"Aquatic, Apple, Raspberry, Water Lily, Guava, Coconut, Cotton Candy, Vanilla, Amber, Musk",Full,30
153,Skylar,Coconut Cove,Eau de Parfum,"Bergamot, Cardamom, Hibiscus, Lemon, Coconut, Jasmine, Gardenia, Green, Amber, Wood, Heliotrope, Vanilla",Travel,
154,Skylar,Double Dates,Eau de Parfum,"Cinnamon, Date, Walnut, Benzoin, Toffee, Vanilla, Sandalwood, Brown Sugar, Cocoa Butter",Travel,30
155,Skylar,Salt Air,Eau de Parfum,"Bergamot, Salt, Seaweed, Cotton, Water Lily, Cyclamen, Wood, Vanilla, Musk",Sample,
156,Skylar ,Vanilla Sky,Body Mist,"Bergamot, Orange, Cappuccino, Vanilla, Jasmine, Cinnamon, Cedarwood, Amber, Sandalwood",Full,30
157,Skylar,Vanilla Sky,Eau de Parfum,"Bergamot, Orange, Cappuccino, Vanilla, Jasmine, Cinnamon, Cedarwood, Amber, Sandalwood",Travel,16
158,Snif,Gentle Reminder,Eau de Toilette,"Date, Sugar, Milk, Tea, Ube, Lavender, Palo Santo",Travel,25
159,Snif,Heal The Way,Eau de Toilette,"Pistachio, Davana, Palo Santo, Vanilla, Musk, Amber",Travel,25
160,Snif,Honey Suite,Eau de Toilette,"Incense, Honey, Lavender, Broom, Wood, Vanilla",Sample,
161,Snif,Me,Eau de Toilette,"Peach, Plum, Orris, Moss, Musk, Sandalwood",Sample,
162,Snif,Suganami,Eau de Toilette,"Angelica Seeds, Coriander, Iris, Rose, Cypress, Myrrh, Amber, Cedarwood, Musk",Travel,25
163,Sol de Janeiro,Cheirosa ‘40 Bom Dia Bright,Body Mist,"Amber, Plum, Crème de Cassis, Jasmine, Orchid, Vanilla, Wood, Musk",Travel,10
164,Sol de Janeiro,Cheirosa ‘59 Delicia,Body Mist,"Plum, Violet, Vanilla, Amber, Sandalwood, Vetiver",Travel,10
165,Sol de Janeiro,Cheirosa ‘62,Body Mist,"Pistachio, Almond, Heliotrope, Jasmine, Vanilla, Caramel, Sandalwood",Travel,10
166,The 7 Virtues,Amber Vanilla,Eau de Parfum,"Pink Pepper, Carnation, Muguet, Skin, Musk, ISO E, Amber, Vanilla",Travel,32
167,The 7 Virtues,Clementine Dream,Eau de Parfum,"Clementine, Magnolia, Vanilla",Travel,32
168,The 7 Virtues,Coconut Sun,Eau de Parfum,"Coconut, Citrus, Frangipani, Salt, Jasmine, Rose, Vanilla",Travel,16
169,The 7 Virtues,Lotus Pear,Eau de Parfum,"Pear, Peach, Mandarin, Rose, Orange, Jasmine, Lotus, Gardenia, Vanilla, Sambac, Geranium",Travel,32
170,Touchland,Vanilla Velvet,Body Mist,"Coconut, Vanilla, Whipped Cream, Muguet, Almond, Sandalwood",Full,
171,Valentino,Donna Born in Roma,Eau de Parfum,"Black Currant, Jasmine, Vanilla",Travel,0
172,Valentino,Donna Born in Roma Green Stravaganza,Eau de Parfum,"Tea, Jasmine, Vanilla",Travel,37
173,Valentino,Donna Born in Roma Purple Melancholia,Eau de Parfum,"Plum, Osmanthus, Vanilla, Jasmine",Full,180
174,Valentino,Voce Viva,Eau de Parfum,"Bergamot, Orange Blossom, Vanilla",Travel,37
175,Versace,Bright Crystal,Eau de Toilette,"Yuzu, Ice, Pomegranate, Peony, Magnolia, Lotus, Acajou, Amber, Musk",Full,
176,Versace,Crystal Noir,Eau de Toilette,"Cardamom, pepper, Ginger, Gardenia, Peony, Orange, Amber, Sandalwood, Musk",Travel,16
177,Versace,Dylan Purple Pour Femme,Eau de Parfum,"Orange, Bitters, Pear, Bergamot, Freesia, Pomarose, Mohanial, ISO E Super, Cedarwood, Amber, Belambre, Sklkolide",Travel,
178,Victoria’s Secret,Bare,Eau de Parfum,"Mandarin, Violet, Sandalwood",Full,59.95
179,Victoria’s Secret,Bare Sueded Vanilla,Eau de Parfum,"Saffron, Sandalwood, Vanilla, Milk",Full,59.95
180,Victoria’s Secret,Pink Lemonade,Body Mist,"Mint, Lemon, Hibiscus",Full,19.95
181,Victoria’s Secret,Tease Creme Cloud,Body Mist,"Vanilla, Meringue, Santal, Amber",Full,25
182,Victoria’s Secret,Tease Creme Cloud,Eau de Parfum,"Vanilla, Meringue, Santal, Amber",Full,
183,Victoria’s Secret,Warm & Cozy,Body Mist,"Passionfruit, Coconut, Vanilla",Full,19.95
184,Viktor&Rolf,Flowerbomb,Eau de Parfum,"Cattleya, Orchid, Freesia, Rose, Jasmine, Osmanthus, Patchouli, Vanilla",Full,
185,Viktor&Rolf,Flowerbomb Dew,Eau de Parfum,"Rose, Iris, Bergamot, Musk",Sample,
186,Viktor&Rolf,Flowerbomb Ruby Orchid,Eau de Parfum,"Peach, Freesia, Orchid, Jasmine, Vanilla, Bourbon",Travel,
187,Viktor&Rolf,Good Fortune,Eau de Parfum,"Fennel, Jasmine, Vanilla, Bourbon",Travel,
188,YSL,Black Opium,Eau de Parfum,"Coffee, White Flowers, Vanilla",Travel,
189,YSL,Black Opium Extreme,Eau de Parfum,"Coffee, White Flowers, Vanilla, Patchouli",Travel,
190,YSL,Libre,Parfum,"Lavender, Orange Blossom, Saffron",Travel,40
191,YSL,Libre Berry Crush,Eau de Parfum,"Raspberry, Coconut, Orange Blossom, Lavender, Vanilla",Full,110
192,Zara,Twilight Mauve,Eau de Toilette,"Apple, Bergamot, Black Currant, Powdered Flowers, Amber, Cedarwood",Full,
